Název nutrientu;Nutrienty základní;Energetická hodnota (kJ);Energetická hodnota (kcal);Bílkoviny celkové [NCF:6.25];Dusík celkový;Tuky celkové [FACF:0.800];Sacharidy celkové;Sacharidy využitelné;Vláknina potravy;Voda celková;Ethanol;Popel;Vitaminy;Vitamin B1 (thiamin);Vitamin B2 (riboflavin);Niacin ekvivalent;Niacin;Foláty celkové;Kyselina pantothenová;Vitamin B6 (pyridoxin);Vitamin B12;Vitamin C;Vitamin A;Retinol;beta-karoten;Vitamin D;Vitamin E;alfa - tokoferol;Minerální látky;Sodík;Hořčík;Fosfor;Draslík;Vápník;Železo;Měď;Zinek;Selen;Jód;Sůl;Cukry, škrob, polyoly, organické kyseliny;Cukry celkové;Fruktosa;Glukosa;Laktosa;Maltosa;Sacharosa;Škrob;Organické kyseliny;Polyoly;Mastné kyseliny a cholesterol;Nasycené mastné kyseliny;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 13:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;C 22:0;Mononenasycené mastné kyseliny;C 14:1;C 16:1;C 17:1;C 18:1, n-9;C 20:1, n-11;C 22:1, n-9;Polynenasycené mastné kyseliny;n-6 mastné kyseliny;C 18:2, n-6;C 18:3, n-6;C 20:4, n-6;n-3 mastné kyseliny;C 18:3, n-3;C 20:5, n-3 (EPA);C 22:5, n-3 (DPA);C 22:6, n-3 (DHA);Trans- mastné kyseliny;C 18:1, n-9 trans;C 18:2, n-6 trans;Cholesterol;Aminokyseliny;Glycin;Alanin;Valin;Leucin;Isoleucin;Serin;Threonin;Lysin;Asparagová kyselina;Glutamová kyselina;Arginin;Cystein;Methionin;Fenylalanin;Tyrosin;Tryptofan;Histidin;Prolin
Kód EuroFIR;;ENERC;ENERC;PROT;NT;FAT;CHOT;CHO;FIBT;WATER;ALC;ASH;;THIA;RIBF;NIAEQ;NIA;FOL;PANTAC;PYRXN;VITB12;VITC;VITA;RETOL;CARTB;VITD;VITE;TOCPHA;;NA;MG;P;K;CA;FE;CU;ZN;SE;ID;NACL;;SUGAR;FRUS;GLUS;LACS;MALS;SUCS;STARCH;OA;POLY;;FASAT;F4:0;F6:0;F8:0;F10:0;F12:0;F13:0;F14:0;F15:0;F16:0;F17:0;F18:0;F20:0;F22:0;FAMS;F14:1CN5;F16:1CN7;F17:1;F18:1CN9;F20:1CN11;F22:1CN9;FAPU;FACN6;F18:2CN6;F18:3CN6;F20:4CN6;FACN3;F18:3CN3;F20:5CN3;F22:5CN3;F22:6CN3;FATRN;F18:1TN9;F18:2 TTN6;CHORL;;GLY;ALA;VAL;LEU;ILE;SER;THR;LYS;ASP;GLU;ARG;CYS;MET;PHE;TYR;TRP;HIS;PRO
Jednotka;;kJ;kcal;g;g;g;g;g;g;g;g;g;;mg;mg;NE;mg;μg;mg;mg;μg;mg;RE;μg;μg;μg;ATE;mg;;mg;mg;mg;mg;mg;mg;mg;mg;μg;μg;g;;g;g;g;g;g;g;g;g;g;;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg
Maso hovězí, kýta, syrová (separovatelný tuk 2 %);;486;115;21.9;3.5;3.1;0;0;0;74.0;0;1.1;;0.04;0.16;;5.6;;;0.37;;0;2;2;0;;0.19;0.19;;46;25;205;299;4;1.7;;4.2;;;0.1;;0;;;;;;;;;;1.53;;;;0;0;;0.09;0.02;0.82;0.03;0.56;0.01;;1.15;0.01;0.11;;1.02;0.01;;0.09;0.08;0.07;;0;0.02;0.01;;;;0.02;0.01;;47;;986;1273;1090;1769;1039;842;979;1140;2005;3311;1488;327;601;895;905;;839;762
Maso srnčí, svíčková;;338;80;19.2;3.07;0.3;0;0;0;78.1;;1.2;;;;;;;;;;;;;;;;;;70;;;;;;;;;;0.18;;0;0;0;0;0;0;;;;;0.13;0;0;0;0;0;0;0.01;0;0.05;0;0.07;0;0;0.05;0;0;0;0.05;0;0;0.04;0.04;0.02;0;0.02;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Boby kakaové nepražené;;2303;559;12.8;2.04;49.3;29.5;2.7;26.8;5.3;;3.1;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;27.87;0;0;0;0;0;0;0;0;13.18;0;14.33;0.36;0;17.86;0;0.25;0;17.61;0;0;1.32;1.32;1.32;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Melasa;;1270;304;0;0;0.1;74.7;74.7;0;21.9;0;3.3;;0.04;0;;;;;;;0;0;0;0;;0;0;;37;242;31;1464;205;4.7;;;;;0;;;;;;;;;;;;0.02;;;;;;;0;;0.02;;0;;;0.03;;0;;0.03;0;;0.05;;0.05;;0;;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;
Kambala velká, maso bez kůže;;602;144;15.4;2.47;9.2;0;0;0;73.3;;0.7;;;;;;;;;;;;;;;;;;85;;;;;;;;;;0.21;;0;0;0;0;0;0;;;;;1.95;0;0;0;0;0;0;0.34;0;1.13;0;0.17;0.30;0;3.06;0;0.46;0;2.60;0;0;2.16;0.90;0.90;0;0;1.26;0.25;0.49;;0.52;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso vepřové, kýta bez kosti, libová, syrová;;475;113;21.0;3.4;3.2;0;0;0;74.5;0;1.2;;0.78;0.14;;6.1;;0.58;0.56;;0;2;2;0;;0.41;0.41;;52;27;230;346;4;0.7;;2.06;;;0.1;;0;;;;;;;;;;0.77;;;;0.00;0.00;;0.04;;0.71;0.01;0.38;0.01;;1.36;;0.09;;1.23;0.02;;0.26;0.25;0.23;;0.02;0.01;0.01;;;;0.01;0.01;;54;;993;1255;1083;1748;981;847;958;752;1989;3158;1361;365;576;796;612;;940;865
Žito ozimé;;1467;348;8.9;1.5;3.1;78.9;63.3;15.6;7.6;0;1.5;;0.14;0.07;;0.8;;0.58;0.25;;;;;;;1.15;1.15;;1;96;341;399;39;2.5;0.37;2.70;;;0;;;;;;;;;;;;0.38;;;;;;;0.01;;0.34;;0.02;0.00;0.01;0.42;0.00;0.01;;0.37;0.03;0.01;1.44;1.26;1.26;;;0.18;0.18;;;;;;;;;321;499;144;507;358;285;271;335;634;1350;789;233;297;365;430;;203;313
Ředkvička;;45;11;0.6;0.1;0;2.6;1.6;1.0;96.2;0;0.5;;0.03;0.02;;;;;;;23.2;1;0;9;;0.01;0.01;;10;9;24;251;25;1.0;;;;;0.03;;1.6;0.7;0.9;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;
Křepelka, stehna s kůží;;630;151;19.0;3.04;8.3;0;0;0;71.0;;1.1;;;;;;;;;;;;;;;;;;74;;;;;;;;;;0.19;;0;0;0;0;0;0;;;;;2.33;0;0;0;0;0;0;0.05;0;1.82;0;0.46;0;0;3.35;0;0.48;0;2.88;0;0;1.85;1.75;1.75;0;0;0.10;0.10;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maliny, lyofilizované;;1364;326;7.7;1.23;4.3;77.7;50.2;27.5;7.4;;2.9;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;33.1;12.6;10.6;0;0;9.9;;;;;0.16;0;0;0;0;0;0;0;0;0.12;0;0.04;0;0;0.46;0;0;0;0.45;0.01;0;2.79;1.90;1.90;0;0;0.89;0.89;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Párky spišské;;846;203;16.6;2,7;13.3;4.2;4.2;0.0;62.7;;3.2;;;;;;;;;;;;;;;;;;876;;;;;;;;;;2.2;;0.1;0.0;0.0;0.0;0.1;0.0;;;;;5.38;0.00;0.00;0.00;0.02;0.02;0.00;0.22;0.01;3.25;0.05;1.78;0.03;0.00;5.71;0.01;0.35;0.00;5.21;0.10;0.00;1.08;0.99;0.96;0.00;0.03;0.09;0.09;0.00;;0.00;0.04;0.04;0.00;;;;;;;;;;;;;;;;;;;;
Maso skopové, hřbet;;1305;316;14.3;2.29;28.7;0;0;0;53.7;;0.7;;;;;;;;;;;;;;;;;;53;;;;;;;;;;0.13;;0;0;0;0;0;0;;;;;11.36;0;0;0;0;0;0;0.56;0;5.17;0;5.63;0;0;10.74;0;0.28;0;10.46;0;0;0.88;0.50;0.50;0;0;0.38;0.38;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Čokoláda bílá;;2290;549;5.9;0.9;32.1;59.2;59.0;0.2;1.3;0;1.5;;0.06;0.28;;;;;;;0.5;9;9;0;;0.96;0.96;;90;12;176;286;199;0.2;;;;;0.2;;;;;;;;;;;;19.34;0.31;0.16;0.12;0.22;0.63;;0.80;;7.95;;9.15;0;;9.05;;0.06;;8.99;0;0;1.01;0.91;0.91;;0;0.10;0.10;0;0;0;0;;;21;;;;;;;;;;;;;;;;;;;
Kedlubna;;114;27;2.1;0.3;0.1;5.7;3.2;2.5;91.0;0;1.0;;0.06;0.06;;;;;;;48.1;17;0;200;;;;;23;25;56;337;54;1.3;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;0.02;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Siven americký, maso bez kůže;;584;140;17.8;2.85;7.6;0;0;0;72.9;;1.4;;;;;;;;;;;;;;;;;;52;;;;;;;;;;0.13;;0;0;0;0;0;0;;;;;1.00;0;0;0;0;0;0;0.13;0;0.71;0;0.16;0;0;3.85;0;0.32;0;3.32;0.22;0;1.75;1.09;1.09;0;0;0.66;0.26;0.12;;0.28;0;0;0;;;;;;;;;;;;;;;;;;;;
Brambory zimní, loupané, vařené v nesolené vodě;;304;72;2.0;0.3;0.3;16.1;14.4;1.7;80.5;0;1.1;;0.06;0.03;;2.2;;;0.14;;;;;;;;;;;20;58;295;10;0.3;0.09;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso kuřecí, Zlaté kuře, křídla, s kůží;;741;178;18.1;2.9;11.7;0;0;0;69.9;;0.8;;;;;;;;;;;;;;;;;;80;;;;;;;;;;0.20;;0;0;0;0;0;0;;;;;3.54;0;0;0;0;0;0;0.06;0;2.82;0;0.66;0.01;0;5.82;0;0.87;0;4.91;0.05;0;1.64;1.54;1.54;0;0;0.11;0.11;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tuk pomazánkový rostlinný roztíratelný s nízkým obsahem tuku (20 %), Perla Tip, UNILEVER;;740;180;0;;20.0;0;0;0;79.2;0;;;;;;;;;;;;;;;;;;;315;;;;;;;;;;0.8;;0;;;;;;;;;;6.27;;;;;;;;;;;;;;9.82;;;;;;;3.78;;;;;;;;;;0.14;;;0;;;;;;;;;;;;;;;;;;;
Klíčky pohankové;;1400;335;35.7;5.7;10.0;35.7;15.3;20.5;10.7;;7.9;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;0.7;0.4;0;0;0;0.3;;;;;1.91;0;0;0;0;0;0;0.01;0;1.37;0;0.21;0.15;0.16;4.09;0;0.02;0;3.74;0.34;0;3.53;3.33;3.33;0;0;0.19;0.19;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso králičí, stehna, bez kůže;;421;100;21.3;3.4;1.6;0;0;0;75.8;;1.2;;;;;;;;;;;;;;;;;;46;;;;;;;;;;0.12;;0;0;0;0;0;0;;;;;0.59;0;0;0;0;0.01;0;0.05;0;0.41;0;0.11;0;0;0.44;0;0.03;0;0.40;0;0;0.41;0.37;0.37;0;0;0.04;0.04;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Rybíz černý;;258;62;1.2;0.2;0.3;16.4;10.6;5.8;81.3;0;0.8;;0.05;0.05;;;;;;;166;7;0;81;;2.1;2.1;;5;19;50;306;45;1.4;;;;;0;;7.5;4.0;3.2;;;0.3;;;;;0.03;;;;;;;;;0.03;;0;;;0.01;;;;0.01;;;0.10;0.07;0.07;;;0.03;0.03;;;;;;;0;;;;;;;;;;;;;;;;;;;
Celer bulvový;;117;28;1.5;0.2;0.3;7.1;2.6;4.5;90.1;0;1.0;;0.07;0.15;;;;;;;11;2;0;21;;0.8;0.8;;92;18;71;333;56;0.6;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Pivo tmavé, výčepní, 10 %;;157;37;0.3;0;0;4.3;4.3;0;92.5;2.7;0.2;;0.02;0.09;;;;;;;0;0;0;0;;0;;;2;6;20;33;2;0;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;0;0;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Maso hovězí, svíčková,  syrová (separovatelný tuk 1 %);;555;132;20.1;3.2;5.8;0;0;0;73.0;0;1.1;;0.04;0.13;;7.3;;;0.42;;0;4;4;0;;0.35;0.35;;54;28;228;332;5;1.8;;3.2;;;0.1;;0;;;;;;;;;;2.68;;;;0;0.01;;0.20;0.03;1.54;0.06;0.83;0.01;;2.37;0.05;0.24;;2.06;0.01;;0.14;0.11;0.10;;0.01;0.02;0.02;;;;0.01;0.02;;45;;953;1341;1169;1913;1113;894;1058;1337;2192;3566;1621;397;628;941;985;;861;816
Tuk rostlinný roztíratelný (79 %), Hera Máslová příchuť, UNILEVER;;2930;713;0.1;;79.0;0.4;0.4;0;20.1;0;;;;;;;;;;;;;;;;;;;166;;;;;;;;;;0.41;;0.4;;;;;;;;;;37.00;;;;;;;;;;;;;;30.3;;;;;;;11.2;;;;;;;;;;0.4;;;2;;;;;;;;;;;;;;;;;;;
Syrovátka sušená;;1560;372;12.7;2.0;0.6;77.6;77.6;0;3.81;;5.4;;;;;;;;;;;;;;;;;;536;;;;;;;;;;1.34;;76.4;0;0;76.4;0;0;;;;;0.38;0;0;0;0;0;0;0.06;0;0.21;0;0.08;0;0;0.09;0;0;0;0.11;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso jelení (jelen lesní), plec;;422;100;19.8;3.17;2.3;0;0;0;75.4;;1.2;;;;;;;;;;;;;;;;;;63;;;;;;;;;;0.16;;0;0;0;0;0;0;;;;;1.25;0;0;0;0;0.02;0;0.26;0;0.74;0;0.24;0;0;0.62;0;0.17;0;0.45;0;0;0.06;0.04;0.04;0;0;0.02;0.02;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Tuk vepřový, syrový, separovatelný (odřezky);;2580;627;6.9;1.1;66.6;0;0;0;26.1;0;0.4;;0.32;0.07;;2.6;;0.26;0.08;;0;15;15;0;;0.22;0.22;;31;9;94;141;4;0.4;;0.61;;;0.1;;0;;;;;;;;;;18.93;;;;0.08;0.07;;1.04;;17.31;0.27;9.71;0.14;;26.69;;1.71;;24.32;0.53;;5.98;5.64;5.50;;0.14;0.34;0.34;;;;0.13;0.13;;84;;1235;655;341;467;221;312;278;128;609;890;540;63;112;259;145;;228;404
Olej světlicový, s vysokým obsahem kys. olejové;;3700;900;0;0;100;0;0;0;0;0;0;;0;0;;;;;;;0;;0;0;;0.34;0.34;;0;0;0;0;0;0;;;;;0;;0;0;0;0;0;0;;;;;7.54;0;0;0;0.09;0;;0;;4.86;;1.92;0.38;0.29;75.13;;0.10;;74.74;0.29;0;12.82;12.72;12.72;;0;0.10;0.10;0;0;0;0.10;0.10;;0;;;;;;;;;;;;;;;;;;;
Maso slepičí, stehno bez kůže a kosti – slepičí stehenní řízek;;620;148;20.6;3.3;7.3;0;0;0;71.9;;1.1;;;;;;;;;;;;;;;;;;67;;;;;;;;;;0.17;;0;0;0;0;0;0;;;;;1.93;0;0;0;0;0;0;0.05;0;1.45;0;0.43;0;0;3.78;0;0.35;0;3.40;0.03;0;1.15;1.11;1.11;0;0;0.04;0.04;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Zajíc, maso z celého kusu;;405;96;21.4;3.42;1.1;0;0;0;74.6;;1.1;;;;;;;;;;;;;;;;;;58;;;;;;;;;;0.14;;0;0;0;0;0;0;;;;;0.43;0;0;0;0;0;0;0.04;0;0.23;0;0.04;0;0;0.17;0;0.04;0;0.13;0;0;0.31;0.09;0.08;0;0.01;0.22;0.22;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso kuřecí, stehno bez kůže a bez kosti – kuřecí stehenní řízek;;603;144;18.2;2.9;8.0;0;0;0;72.9;;1.0;;;;;;;;;;;;;;;;;;92;;;;;;;;;;0.23;;0;0;0;0;0;0;;;;;2.46;0;0;0;0;0.16;0;0.14;0;1.68;0;0.43;0;0;3.78;0;0.44;0;3.28;0;0;1.32;1.23;1.15;0;0;0.09;0.10;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Olej sezamový;;3689;897;0;0;99.7;0;0;0;0.2;;0;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;0;0;0;0;0;0;;;;;16.57;0;0;0;0;0;0;0;0;9.19;0;6.46;0.74;0.19;41.69;0;0.14;0;41.37;0.17;0;37.05;36.80;36.80;0;0;0.25;0.25;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Smetana ke šlehání, 33 % tuku;;1310;317;2.2;0.3;33.0;2.8;2.8;0;61.5;0;0.5;;0.03;0.15;;;;;;;0;293;281;145;0.33;0.84;0.84;;28;7;64;92;83;0;0.01;0.21;;8.7;0.1;;2.8;;;2.8;;;;;;;21.35;1.12;0.73;0.46;1.02;1.29;;3.63;;9.77;;3.33;;;8.91;0.46;0.73;;7.33;0.40;;0.96;0.69;0.69;;;0.26;0.26;;;;;;;109;;;;;;;;;;;;;;;;;;;
Petržel, nať;;226;54;4.3;0.7;0.42;10.3;6.1;4.2;83.2;0;1.8;;0.12;0.27;;;;;;;178.5;451;0;5410;;3.7;3.7;;33;58;99;815;209;5.1;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07;0.07;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Semena, černucha setá;;2102;509;21.6;3.46;41.0;25.5;1.6;23.9;7.6;;4.3;;;;;;;;;;;;;;;;;;41;;;;;;;;;;0.10;;1.1;0.6;0.4;0;0;0.1;;;;;5.55;0;0;0;0;0;0;0.07;0;4.54;0;0.95;0;0;7.99;0;0.08;0;7.79;0.12;0;18.39;18.32;18.32;0;0;0.07;0.07;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Olej slunečnicový, s vysokým obsahem kyseliny olejové (nad 70 %);;3700;900;0;0;100;0;0;0;0;0;0;;0;0;;;;;;;0;0;0;0;;41.08;41.08;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;9.86;;;;0;0;;0.06;0.80;3.68;;4.32;;1.00;83.57;;0.10;;82.63;0.96;0;3.80;3.61;3.61;;0;0.19;0.19;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;
Krevety;;356;84;18.2;2.91;0.5;1.7;1.7;0;77.5;;2.1;;;;;;;;;;;;;;;;;;94;;;;;;;;;;0.23;;0;0;0;0;0;0;;;;;0.11;0;0;0;0;0;0;0;0;0.06;0;0.04;0;0;0.06;0;0.01;0;0.05;0;0;0.13;0.04;0.04;0;0;0.09;0;0.05;;0.04;0;0;0;;;;;;;;;;;;;;;;;;;;
Maso hovězí, svíčková;;526;125;20.3;3.2;4.9;0;0;0;73.7;0;1.1;;0.04;0.13;;7.4;;;0.42;;0;4;4;0;;0.35;0.35;;55;28;230;335;5;1.8;;3.2;;;0.1;;0;;;;;;;;;;2.22;;;;0;0.01;;0.17;0.03;1.30;0.05;0.65;0.01;;2.08;0.05;0.22;;1.80;0.01;;0.12;0.10;0.09;;0.01;0.02;0.02;;;;0.01;0.01;;45;;959;1353;1180;1931;1123;902;1068;1350;2213;3600;1636;401;634;950;995;;869;822
Mouka prosná;;1527;360;12.9;2.1;3.0;71.6;69.3;2.3;11.5;;1.0;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;0.5;0.1;0;0;0;0.5;;;;;0.68;0;0;0;0;0;0;0;0;0.52;0;0.17;0;0;0.58;0;0;0;0.58;0;0;1.42;1.42;1.42;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Chléb pšeničný celozrnný, Graham;;1040;247;9.1;1.4;2.7;49.8;43.4;6.4;36.5;0;1.9;;0.36;0.10;;;;;;;0;0;0;0;;0.3;0.3;;301;54;214;187;28;2.1;;;;;0.8;;;;;;;;42.3;;;;;;;;;;;;;;;;;;;;;;;;;;0.73;0.73;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Výrobek mléčný, Tradiční pomazánkové (dříve Pomazánkové máslo);;1330;323;3.0;0.5;32.0;5.7;5.7;0;57.0;0;1.0;;0.01;0.04;;;;;;;0;284;272;141;0.32;0.82;0.82;;343;11;101;144;130;0;0.01;0.33;;13.6;0.1;;5.7;;;5.7;;;;;;;20.70;1.09;0.70;0.45;0.99;1.25;;3.52;;9.47;;3.23;;;8.64;0.45;0.70;;7.10;0.38;;0.93;0.67;0.67;;;0.26;0.26;;;;;;;106;;;;;;;;;;;;;;;;;;;
Prášek kakaový;;1605;387;22.1;3.54;20.6;43.10;13.52;29.58;4.2;0;10.0;;0.09;0.11;;;;;;;0;1;0;12;;0.2;0.2;;12;409;661;1955;127;8.0;;;;;0.03;;1.11;0.52;0;0;0;0.59;;;;;12.60;0;0;0;0;0;0;0.02;0;5.01;0;7.36;0.21;0;6.47;0;0.05;0;6.43;0;0;0.56;0.53;0.53;0;0;0.03;0.03;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Maso kuřecí, Zlaté kuře, stehna, s kostí, s kůží;;690;165;17.5;2.8;10.6;0;0;0;70.0;;1.0;;;;;;;;;;;;;;;;;;68;;;;;;;;;;0.17;;0;0;0;0;0;0;;;;;3.08;0;0;0;0.01;0;0;0.05;0;2.41;0;0.61;0;0;5.34;0;0.76;0;4.58;0;0;1.63;1.52;1.52;0;0;0.10;0.10;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Koření, pepř, černý;;1400;335;11.8;1.9;8.6;62.7;42.5;20.2;11.9;0;5.0;;0.11;0.24;;;;;;;0;11;0;135;;2.56;2.56;;142;207;203;1161;482;17.3;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.80;0.80;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Pstruh duhový, uzený, maso bez kůže;;593;141;22.7;3.64;5.6;0;0;0;66.8;;3.6;;;;;;;;;;;;;;;;;;983;;;;;;;;;;2.46;;0;0;0;0;0;0;;;;;0.81;0;0;0;0;0;0;0.08;0;0.58;0;0.14;0;0;2.57;0;0.15;0;2.41;0;0;1.30;0.75;0.75;0;0;0.55;0.20;0.08;;0.27;0;0;0;;;;;;;;;;;;;;;;;;;;
Rakytník;;340;82;2.3;0.36;3.8;11.0;8.1;2.9;82.5;;0.4;;;;;;;;;;;;;;;;;;11;;;;;;;;;;0.03;;4.0;0.1;3.0;0;0;0;;;;;1.10;0;0;0;0;0;0;0.01;0;1.06;0;0.03;0;0;1.02;0;0.74;0;0.28;0;0;0.65;0.54;0.54;0;0;0.11;0.11;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Štikozubec obecný (štika mořská, hejk, merlůza), maso bez kostí, pečené;;266;63;13.9;2.2;0.8;0;0;0;81.9;0;1.4;;0.02;0.04;;1.7;;;0.07;;;;;;;0.13;0.13;;156;39;230;418;19;;0.03;0.28;;3.9;0.4;;0;;;;;;;;;;0.17;;;;;0.00;;0.01;;0.13;;0.03;0.00;;0.09;;0.02;;0.07;0.00;0.00;0.26;0.01;0.01;0.00;;0.25;0.00;0.07;0.01;0.17;;;;;;;;;;;;;;;;;;;;;;;
Jogurt, bílý, odtučněný;;183;43;5.3;0.85;0.2;4.4;4.4;0;87.7;;0.9;;;;;;;;;;;;;;;;;;48;;;;;;;;;;0.12;;4.4;0;0;4.4;0;0;;0.8;;;0.15;0;0;0;0.01;0.01;0;0.03;0;0.08;0;0.02;0;0;0.06;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Meruňky sušené;;1170;276;2.3;0.37;0.5;69.2;61.9;7.4;23.3;;4.6;;;;;;;;;;;;;;;;;;9;;;;;;;;;;0.02;;38.3;14.2;16.1;0;0;8.1;;;;;0.18;0;0;0;0;0;0;0;0;0.15;0;0.03;0;0;0.09;0;0;0;0.09;0;0;0.13;0.08;0.08;0;0;0.05;0.05;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
Tlačenka, modelová receptura;;884;211;16.9;2.7;16.0;0.2;0.1;0.2;64.7;;3.1;;;;;;;;;;;;;;;;;;800;;;;;;;;;;2.0;;0.1;0.0;0.1;0.0;0.0;0.0;0.1;;;;11.05;0.00;0.00;0.00;0.00;0.00;0.00;0.49;0.00;2.55;0.00;8.00;0.00;0.00;1.42;0.00;0,01;0.00;1.42;0.00;0.00;0.18;0.07;0.01;0.00;0.06;0.11;0,08;0.03;0.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;;
Mléko nízkotučné (odtučněné);;160;38;3.4;0.5;0.5;4.9;4.9;0;90.5;0;0.8;;0.04;0.13;;;;;;;1.1;4;4;2;0.08;0.01;0.01;;41;10;96;137;124;0;0.01;0.32;;13.0;0.1;;4.9;;;4.9;;;;;;;0.32;0.02;0.01;0.01;0.02;0.02;;0.06;;0.15;;0.05;;;0.14;0.01;0.01;;0.11;0.01;;0.01;0.01;0.01;;;0;0;;;;;;;6;;;;;;;;;;;;;;;;;;;
Maso hovězí, výrobní, H4;;840;203;18.8;3.0;14.1;0;0;0;65.9;;0.9;;;;;;;;;;;;;;;;;;58;;;;;;;;;;0.15;;0;0;0;0;0;0;;;;;5.59;0;0;0;0.01;0.01;0;0.24;0;2.99;0;2.34;0;0;6.20;0;0.34;0;5.82;0.04;0;0.35;0.30;0.30;0;0;0.05;0.05;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Aloe vera, listy;;105;25;0;0;0.7;6.1;3.4;2.7;92.3;;0.9;;;;;;;;;;;;;;;;;;1;;;;;;;;;;0;;1.2;1.2;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;;;;;;;;;;
Krupice kukuřičná, T600;;1490;351;8.4;1.3;1.1;78.9;74.9;4.0;11.0;0;0.6;;0.08;0.07;;;;;;;0;0;0;0;;1.1;1.1;;10;45;111;5;81;1.7;;;;;0.1;;;;;;;;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;
Mandle;;2450;593;28.1;4.5;47.9;20.2;4.3;15.9;4.9;0;3.0;;0.21;0.74;;;;;;;5.0;0;0;0;;25.03;25.03;;1;258;467;785;246;3.4;;;;;0;;4.3;0.2;0;0;0;4.1;;;;;4.45;0;0;0;0;0;0;0;0;3.60;0;0.85;0;0;28.96;0;0.16;0;28.80;0;0;10.01;10.01;10.01;0;0;0;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
